npmPackageName,versionNumber
@rollup/rollup-linux-ppc64-musl,4.55.1
@rollup/rollup-linux-riscv64-gnu,4.55.1
@rollup/rollup-linux-riscv64-musl,4.55.1
@rollup/rollup-linux-s390x-gnu,4.55.1
@rollup/rollup-linux-x64-gnu,4.55.1
@rollup/rollup-linux-x64-musl,4.55.1
@rollup/rollup-openbsd-x64,4.55.1
@rollup/rollup-openharmony-arm64,4.55.1
@rollup/rollup-win32-arm64-msvc,4.55.1
@rollup/rollup-win32-ia32-msvc,4.55.1
@rollup/rollup-win32-x64-gnu,4.55.1
@rollup/rollup-win32-x64-msvc,4.55.1
@rspack/binding,1.7.5
@rspack/binding-darwin-arm64,1.7.5
@rspack/binding-darwin-x64,1.7.5
@rspack/binding-linux-arm64-gnu,1.7.5
@rspack/binding-linux-arm64-musl,1.7.5
@rspack/binding-linux-x64-gnu,1.7.5
@rspack/binding-linux-x64-musl,1.7.5
@rspack/binding-wasm32-wasi,1.7.5
@rspack/binding-win32-arm64-msvc,1.7.5
@rspack/binding-win32-ia32-msvc,1.7.5
@rspack/binding-win32-x64-msvc,1.7.5
@rspack/core,1.7.5
@rspack/dev-server,1.2.1
@rspack/lite-tapable,1.1.0
@rspack/plugin-react-refresh,1.6.0
@rtsao/scc,1.1.0
@schematics/angular,21.1.0
@sigstore/bundle,4.0.0
@sigstore/core,3.1.0
@sigstore/protobuf-specs,0.5.0
@sigstore/sign,4.1.0
@sigstore/tuf,4.0.1
@sigstore/verify,3.1.0
@sinclair/typebox,0.34.47
@sindresorhus/is,5.6.0
@sinonjs/commons,3.0.1
@sinonjs/fake-timers,13.0.5
@standard-schema/spec,1.1.0
@standard-schema/utils,0.3.0
@svgr/babel-plugin-add-jsx-attribute,8.0.0
@svgr/babel-plugin-remove-jsx-attribute,8.0.0
@svgr/babel-plugin-remove-jsx-empty-expression,8.0.0
@svgr/babel-plugin-replace-jsx-attribute-value,8.0.0
@svgr/babel-plugin-svg-dynamic-title,8.0.0
@svgr/babel-plugin-svg-em-dimensions,8.0.0
@svgr/babel-plugin-transform-react-native-svg,8.1.0
@svgr/babel-plugin-transform-svg-component,8.0.0
@svgr/babel-preset,8.1.0
@svgr/core,8.1.0
@svgr/hast-util-to-babel-ast,8.0.0
@svgr/plugin-jsx,8.1.0
@svgr/plugin-svgo,8.1.0
@svgr/webpack,8.1.0
@swc-node/core,1.14.1
@swc-node/register,1.9.2
@swc-node/sourcemap-support,0.5.1
@swc/core,1.5.29
@swc/core-darwin-arm64,1.5.29
@swc/core-darwin-x64,1.5.29
@swc/core-linux-arm-gnueabihf,1.5.29
@swc/core-linux-arm64-gnu,1.5.29
@swc/core-linux-arm64-musl,1.5.29
@swc/core-linux-x64-gnu,1.5.29
@swc/core-linux-x64-musl,1.5.29
@swc/core-win32-arm64-msvc,1.5.29
@swc/core-win32-ia32-msvc,1.5.29
@swc/core-win32-x64-msvc,1.5.29
@swc/counter,0.1.3
@swc/helpers,0.5.18
@swc/types,0.1.25
@szmarczak/http-timer,5.0.1
@tailwindcss/node,4.1.18
@tailwindcss/oxide,4.1.18
@tailwindcss/oxide-android-arm64,4.1.18
@tailwindcss/oxide-darwin-arm64,4.1.18
@tailwindcss/oxide-darwin-x64,4.1.18
@tailwindcss/oxide-freebsd-x64,4.1.18
@tailwindcss/oxide-linux-arm-gnueabihf,4.1.18
@tailwindcss/oxide-linux-arm64-gnu,4.1.18
@tailwindcss/oxide-linux-arm64-musl,4.1.18
@tailwindcss/oxide-linux-x64-gnu,4.1.18
@tailwindcss/oxide-linux-x64-musl,4.1.18
@tailwindcss/oxide-wasm32-wasi,4.1.18
@tailwindcss/oxide-win32-arm64-msvc,4.1.18
@tailwindcss/oxide-win32-x64-msvc,4.1.18
@tailwindcss/postcss,4.1.18
@testing-library/dom,10.4.0
@testing-library/react,16.3.0
@tootallnate/quickjs-emscripten,0.23.0
@trysound/sax,0.2.0
@tsconfig/node10,1.0.12
@tsconfig/node12,1.0.11
@tsconfig/node14,1.0.3
@tsconfig/node16,1.0.4
@tufjs/canonical-json,2.0.0
@tufjs/models,4.1.0
@tybys/wasm-util,0.9.0
@types/aria-query,5.0.4
@types/babel__core,7.20.5
@types/babel__generator,7.27.0
@types/babel__template,7.4.4
@types/babel__traverse,7.28.0
@types/body-parser,1.19.6
@types/bonjour,3.5.13
@types/chai,5.2.3
@types/clone,2.1.4
@types/connect,3.4.38
@types/connect-history-api-fallback,1.5.4
@types/d3-array,3.2.2
@types/d3-color,3.1.3
@types/d3-ease,3.0.2
@types/d3-interpolate,3.0.4
@types/d3-path,3.1.1
@types/d3-scale,4.0.9
@types/d3-shape,3.1.8
@types/d3-time,3.0.4
@types/d3-timer,3.0.2
@types/deep-eql,4.0.2
@types/eslint,9.6.1
@types/eslint-scope,3.7.7
@types/esquery,1.5.4
@types/estree,1.0.8
@types/express,4.17.25
@types/express-serve-static-core,4.19.8
@types/http-cache-semantics,4.2.0
@types/http-errors,2.0.5
@types/http-proxy,1.17.17
@types/istanbul-lib-coverage,2.0.6
@types/istanbul-lib-report,3.0.3
@types/istanbul-reports,3.0.4
@types/jest,30.0.0
@types/jsdom,21.1.7
@types/json-schema,7.0.15
@types/json5,0.0.29
@types/mime,1.3.5
@types/node,20.19.29
@types/node-forge,1.3.14
@types/parse-json,4.0.2
@types/qs,6.14.0
@types/range-parser,1.2.7
@types/react,19.2.8
@types/react-dom,19.2.3
@types/resolve,1.20.2
@types/retry,0.12.2
@types/semver,7.5.8
@types/send,0.17.6
@types/serve-index,1.9.4
@types/serve-static,1.15.10
@types/sockjs,0.3.36
@types/stack-utils,2.0.3
@types/tough-cookie,4.0.5
@types/use-sync-external-store,0.0.6
@types/which,2.0.2
@types/ws,8.18.1
@types/yargs,17.0.35
@types/yargs-parser,21.0.3
@types/yauzl,2.10.3
@typescript-eslint/eslint-plugin,8.53.0
@typescript-eslint/parser,8.53.0
@typescript-eslint/project-service,8.53.0
@typescript-eslint/scope-manager,8.53.0
@typescript-eslint/tsconfig-utils,8.53.0
@typescript-eslint/type-utils,8.53.0
@typescript-eslint/types,8.53.0
@typescript-eslint/typescript-estree,8.53.0
@typescript-eslint/utils,8.53.0
@typescript-eslint/visitor-keys,8.53.0
@ungap/structured-clone,1.3.0
@unrs/resolver-binding-android-arm-eabi,1.11.1
@unrs/resolver-binding-android-arm64,1.11.1
@unrs/resolver-binding-darwin-arm64,1.11.1
@unrs/resolver-binding-darwin-x64,1.11.1
@unrs/resolver-binding-freebsd-x64,1.11.1
@unrs/resolver-binding-linux-arm-gnueabihf,1.11.1
@unrs/resolver-binding-linux-arm-musleabihf,1.11.1
@unrs/resolver-binding-linux-arm64-gnu,1.11.1
@unrs/resolver-binding-linux-arm64-musl,1.11.1
@unrs/resolver-binding-linux-ppc64-gnu,1.11.1
@unrs/resolver-binding-linux-riscv64-gnu,1.11.1
@unrs/resolver-binding-linux-riscv64-musl,1.11.1
@unrs/resolver-binding-linux-s390x-gnu,1.11.1
@unrs/resolver-binding-linux-x64-gnu,1.11.1
@unrs/resolver-binding-linux-x64-musl,1.11.1
@unrs/resolver-binding-wasm32-wasi,1.11.1
@unrs/resolver-binding-win32-arm64-msvc,1.11.1
@unrs/resolver-binding-win32-ia32-msvc,1.11.1
@unrs/resolver-binding-win32-x64-msvc,1.11.1
@vitejs/plugin-basic-ssl,2.1.0
@vitejs/plugin-react,5.1.2
@vitest/coverage-v8,4.0.17
@vitest/expect,4.0.17
@vitest/mocker,4.0.17
@vitest/pretty-format,4.0.17
@vitest/runner,4.0.17
@vitest/snapshot,4.0.17
@vitest/spy,4.0.17
@vitest/ui,4.0.17
@vitest/utils,4.0.17
@wdio/config,8.46.0
@wdio/logger,8.38.0
@wdio/protocols,8.44.0
@wdio/types,8.41.0
@wdio/utils,8.46.0
@webassemblyjs/ast,1.14.1
@webassemblyjs/floating-point-hex-parser,1.13.2
@webassemblyjs/helper-api-error,1.13.2
@webassemblyjs/helper-buffer,1.14.1
